branch_office,center_name,center_type,area_symbol,address,city,district
tc,KUMON南屯向上一段教室,21A,408,台中市南屯區向上路一段668號1樓,台中市,南屯區
tn,KUMON安南安富溪東教室,24A,709,台南市安南區安富街6號,台南市,安南區
tp,KUMON永和得和教室,21A,234,新北市永和區得和路103號2樓,新北市,永和區
kh,KUMON左營重上教室,20A,813,高雄市左營區重上街357號1樓,高雄市,左營區
kh,KUMON鼓山南屏文忠教室,C,804,高雄市鼓山區文忠路47號1樓,高雄市,鼓山區
tc,KUMON南區美村福新教室,B,402,台中市南區美村路二段315號1樓,台中市,南區
kh,KUMON阿蓮民權教室,D,822,高雄市阿蓮區民權路62號1樓,高雄市,阿蓮區
tp,KUMON大同延平北路涼州教室,C,103,台北市大同區延平北路二段223號2樓,台北市,大同區
tn,KUMON斗南南昌民生教室,C,630,雲林縣斗南鎮南昌路123號1樓,雲林縣,斗南鎮
tn,KUMON永康永大二路教室,21A,710,台南市永康區永大二路81號1-2樓,台南市,永康區
tc,KUMON西屯福科教室,E,407,台中市西屯區福科路340巷13號1樓,台中市,西屯區
tp,KUMON吉安自立建國教室,E,973,花蓮縣吉安鄉自立路37號1樓,花蓮縣,吉安鄉
ty,KUMON竹北勝利二路教室,20A,302,新竹縣竹北市勝利二路128號2樓,新竹縣,竹北市
tn,KUMON永康南工教室,21A,710,台南市永康區南工街278巷1號1樓,台南市,永康區
kh,KUMON楠梓壽民教室,C,811,高雄市楠梓區壽民路203號1樓,高雄市,楠梓區
tp,KUMON鶯歌永明國華教室,D,239,新北市鶯歌區永明街99號1樓,新北市,鶯歌區
tc,KUMON北屯中清大鵬教室,C,406,台中市北屯區中清路二段415巷40弄42號1樓,台中市,北屯區
kh,KUMON岡山仁義教室,D,820,高雄市岡山區仁義路2號1樓,高雄市,岡山區
tc,KUMON北區綏遠漢口教室,19A,404,台中市北區綏遠路一段11號1樓,台中市,北區
tp,KUMON中和景平連城教室,23A,235,新北市中和區景平路642號1樓,新北市,中和區
tp,KUMON新莊中正天泉教室,20A,242,新北市新莊區中正路726-29號2樓,新北市,新莊區
tp,KUMON文山興隆木新教室,ARC,116,台北市文山區興隆路四段132號1樓,台北市,文山區
ty,KUMON新屋新生五街教室,D,327,桃園市新屋區新生五街27號2樓,桃園市,新屋區
ty,KUMON東區高翠教室,E,300,新竹市東區高翠路221巷2弄20號1樓,新竹市,香山區
kh,KUMON屏東華盛永大教室,23A,900,屏東縣屏東市華盛街7之6號1樓,屏東縣,屏東市
tc,KUMON西屯臺灣大道玉門教室,B,407,台中市西屯區臺灣大道四段1230巷29號1樓,台中市,西屯區
tp,KUMON三重仁愛溪尾教室,23A,241,新北市三重區仁愛街511號2樓,新北市,三重區
kh,KUMON大寮山頂長泰教室,E,831,高雄市大寮區山頂路165號1樓,高雄市,大寮區
tc,KUMON北區華中英才教室,B,404,台中市北區華中街13號1樓,台中市,北區
